,xk,wk,uk,xkp1,wkp1,fL_k,fU_k,gL_k,gU_k,fBL_k,fBU_k
9493,[3.47469062],[-4.47253628],[-23.29717344],[3.38523989],[-4.25600692],[-5.10969991],[-2.5992752],[0.01632653],[0.048],[-6.59769991],[-3.62169991]
9494,[2.24970678],[-0.07950828],[10.34032376],[2.24811662],[-0.00871092],[-0.21318485],[0.31350085],[0.01632653],[0.048],[-1.70118485],[1.27481515]
9495,[4.33063417],[-3.9209852],[-12.93484558],[4.25221447],[-3.52501915],[-4.29718846],[-2.81494764],[0.01632653],[0.048],[-5.78518846],[-2.80918846]
9496,[-1.16429256],[4.15245341],[15.98594285],[-1.08124349],[4.10872219],[3.71019303],[5.45269895],[0.01632653],[0.048],[2.22219303],[5.19819303]
9497,[-1.63707558],[-3.23020619],[27.3333664],[-1.7016797],[-2.14155794],[-3.42426453],[-2.65967468],[0.01632653],[0.048],[-4.91226453],[-1.93626453]
9498,[3.1913562],[3.73548491],[-20.3861932],[3.26606589],[2.87352083],[3.26026813],[5.13262224],[0.01632653],[0.048],[1.77226813],[4.74826813]
9499,[2.28542605],[1.04244776],[22.15629114],[2.30627501],[1.32546906],[0.87537006],[1.53365618],[0.01632653],[0.048],[-0.61262994],[2.36337006]
9500,[1.86864193],[2.38195681],[8.39652178],[1.91628107],[2.19571357],[2.02285635],[3.43771217],[0.01632653],[0.048],[0.53485635],[3.51085635]
9501,[1.27066804],[-2.09718341],[-10.51539711],[1.22872437],[-2.35572602],[-2.41217537],[-1.17110705],[0.01632653],[0.048],[-3.90017537],[-0.92417537]
9502,[2.62756597],[-1.37068761],[-24.86523695],[2.60015222],[-1.91830127],[-1.520657],[-0.9297776],[0.01632653],[0.048],[-3.008657],[-0.032657]
9503,[-2.6484058],[-3.05714997],[-2.34357506],[-2.7095488],[-2.71705731],[-3.30204302],[-2.33716441],[0.01632653],[0.048],[-4.79004302],[-1.81404302]
9504,[3.6615696],[-3.48022788],[-0.34753538],[3.59196504],[-3.00608309],[-3.8165706],[-2.49138026],[0.01632653],[0.048],[-5.3045706],[-2.3285706]
9505,[-4.93698608],[-0.76972593],[-21.7875398],[-4.9523806],[-1.38759162],[-0.95675426],[-0.21986263],[0.01632653],[0.048],[-2.44475426],[0.53124574]
9506,[-4.2095502],[-3.7479231],[-15.10581533],[-4.28450867],[-3.77771853],[-4.38238801],[-1.88259626],[0.01632653],[0.048],[-5.87038801],[-2.89438801]
9507,[1.36347057],[-1.88282414],[25.01626242],[1.32581409],[-1.43348234],[-2.17231376],[-1.03172465],[0.01632653],[0.048],[-3.66031376],[-0.68431376]
9508,[1.30654998],[-0.05755805],[-28.9487721],[1.30539882],[-0.84148386],[-0.22264846],[0.42780776],[0.01632653],[0.048],[-1.71064846],[1.26535154]
9509,[-1.07066581],[-2.69887309],[21.59252723],[-1.12464328],[-1.8539537],[-2.80454216],[-2.38820603],[0.01632653],[0.048],[-4.29254216],[-1.31654216]
9510,[-4.23342681],[1.45734864],[23.59592363],[-4.20427983],[1.71293188],[1.23223045],[2.11919611],[0.01632653],[0.048],[-0.25576955],[2.72023045]
9511,[-1.02153936],[4.17530645],[28.8143062],[-0.93803323],[4.38039613],[3.71542795],[5.52734926],[0.01632653],[0.048],[2.22742795],[5.20342795]
9512,[2.4179625],[0.69241786],[6.03089042],[2.43181086],[0.67657611],[0.56199524],[1.07586036],[0.01632653],[0.048],[-0.92600476],[2.04999524]
9513,[2.65270452],[1.19486953],[17.85595798],[2.67660191],[1.43061712],[1.06417279],[1.57911794],[0.01632653],[0.048],[-0.42382721],[2.55217279]
9514,[-3.64954653],[-1.32568472],[4.46694486],[-3.67606022],[-1.26591143],[-1.47057613],[-0.89970397],[0.01632653],[0.048],[-2.95857613],[0.01742387]
9515,[-4.63828788],[-3.6921756],[8.66507702],[-4.71213139],[-3.26432703],[-4.33273119],[-1.80894216],[0.01632653],[0.048],[-5.82073119],[-2.84473119]
9516,[2.58642144],[0.25746303],[-16.79930291],[2.5915707],[-0.19509409],[0.16404364],[0.53211603],[0.01632653],[0.048],[-1.32395636],[1.65204364]
9517,[-3.23324029],[-2.27892007],[13.13033109],[-3.27881869],[-1.85499569],[-2.47578388],[-1.70014047],[0.01632653],[0.048],[-3.96378388],[-0.98778388]
9518,[-3.98493448],[1.48325481],[-9.09419246],[-3.95526938],[1.08219006],[1.27920289],[2.08316746],[0.01632653],[0.048],[-0.20879711],[2.76720289]
9519,[-2.47713955],[-1.74731793],[-0.72680861],[-2.5120859],[-1.54753317],[-1.75102471],[-1.73642],[0.01632653],[0.048],[-3.23902471],[-0.26302471]
9520,[-4.74691296],[-2.74690767],[15.23294186],[-4.80185111],[-2.37708942],[-3.17788773],[-1.4798263],[0.01632653],[0.048],[-4.66588773],[-1.68988773]
9521,[1.74767353],[0.68194569],[-4.9883469],[1.76131245],[0.37820382],[0.49770929],[1.22360074],[0.01632653],[0.048],[-0.99029071],[1.98570929]
9522,[3.81324522],[2.50987499],[15.07343524],[3.86344272],[2.73757719],[2.39514928],[2.84716858],[0.01632653],[0.048],[0.90714928],[3.88314928]
9523,[-0.92133696],[-2.76883177],[16.07448012],[-0.97671359],[-2.04204123],[-2.90136231],[-2.37919196],[0.01632653],[0.048],[-4.38936231],[-1.41336231]
9524,[-3.08516339],[3.79972218],[24.86763821],[-3.00916894],[3.86508162],[3.30893181],[5.24264586],[0.01632653],[0.048],[1.82093181],[4.79693181]
9525,[1.0023643],[4.36268659],[-13.37497879],[1.08961804],[3.32089628],[3.56188425],[6.7170455],[0.01632653],[0.048],[2.07388425],[5.04988425]
9526,[1.9793238],[3.28151611],[27.82751371],[2.04495412],[3.34407423],[2.75314265],[4.83493409],[0.01632653],[0.048],[1.26514265],[4.24114265]
9527,[-1.39409138],[2.28807424],[2.32807998],[-1.3483299],[2.3547772],[2.271081],[2.33803438],[0.01632653],[0.048],[0.783081],[3.759081]
9528,[1.74497134],[2.0203673],[23.63975584],[1.78537869],[2.19686245],[1.71130159],[2.92902046],[0.01632653],[0.048],[0.22330159],[3.19930159]
9529,[4.99702995],[2.26861107],[-0.18749463],[5.04240217],[2.2814273],[2.25052026],[2.32179806],[0.01632653],[0.048],[0.76252026],[3.73852026]
9530,[4.53769683],[1.81408267],[-2.36182702],[4.57397849],[1.84442001],[1.86421342],[1.66669823],[0.01632653],[0.048],[0.37621342],[3.35221342]
9531,[-2.92674401],[4.38820752],[-2.3650067],[-2.83897986],[3.76287914],[3.7576441],[6.24206401],[0.01632653],[0.048],[2.2696441],[5.2456441]
9532,[3.4898209],[1.62907103],[6.422868],[3.52240233],[1.73988957],[1.59272675],[1.73592321],[0.01632653],[0.048],[0.10472675],[3.08072675]
9533,[-3.51545963],[4.4606701],[-23.66606812],[-3.42624623],[3.26331019],[3.71051872],[6.66611518],[0.01632653],[0.048],[2.22251872],[5.19851872]
9534,[0.19358198],[2.52110083],[-15.6120482],[0.24400399],[1.95994595],[2.26714604],[3.26772793],[0.01632653],[0.048],[0.77914604],[3.75514604]
9535,[-4.12113068],[3.23108051],[-25.2868555],[-4.05650907],[2.21509794],[2.72877575],[4.70785652],[0.01632653],[0.048],[1.24077575],[4.21677575]
9536,[-4.05330554],[-4.58567822],[-20.55549474],[-4.14501911],[-4.48993245],[-5.44650999],[-2.05483281],[0.01632653],[0.048],[-6.93450999],[-3.95850999]
9537,[3.14782864],[0.61961517],[-3.67528925],[3.16022094],[0.52969338],[0.60511292],[0.66225182],[0.01632653],[0.048],[-0.88288708],[2.09311292]
9538,[1.73274774],[-2.13906841],[26.29445362],[1.68996637],[-1.63096962],[-2.4655081],[-1.1793357],[0.01632653],[0.048],[-3.9535081],[-0.9775081]
9539,[-3.17724599],[-4.41551178],[15.16972802],[-3.26555623],[-3.48274989],[-5.09630021],[-2.41399377],[0.01632653],[0.048],[-6.58430021],[-3.60830021]
9540,[-2.58021241],[2.99217462],[24.63880517],[-2.52036892],[3.31727298],[2.77076749],[3.64311159],[0.01632653],[0.048],[1.28276749],[4.25876749]
9541,[1.16449991],[4.59400262],[25.58118068],[1.25637997],[4.28207909],[3.70895912],[7.19603051],[0.01632653],[0.048],[2.22095912],[5.19695912]
9542,[-0.21289631],[-1.90854531],[5.66581889],[-0.25106721],[-1.63725155],[-2.00088728],[-1.63705991],[0.01632653],[0.048],[-3.48888728],[-0.51288728]
9543,[4.28455609],[-3.11176354],[18.26401285],[4.22232082],[-2.25141302],[-3.294732],[-2.57383627],[0.01632653],[0.048],[-4.782732],[-1.806732]
9544,[-1.1310611],[-2.23552538],[-7.62926141],[-1.17577161],[-2.06618024],[-2.25772731],[-2.1702517],[0.01632653],[0.048],[-3.74572731],[-0.76972731]
9545,[-0.52323596],[3.14237307],[5.56212068],[-0.4603885],[3.03917684],[2.8836803],[3.9029298],[0.01632653],[0.048],[1.3956803],[4.3716803]
9546,[2.16066174],[2.06824295],[13.81467711],[2.2020266],[2.06204309],[1.77835237],[2.92052124],[0.01632653],[0.048],[0.29035237],[3.26635237]
9547,[-0.30892084],[-0.93852739],[-9.06527622],[-0.32769138],[-1.04428114],[-0.91998613],[-0.99303869],[0.01632653],[0.048],[-2.40798613],[0.56801387]
9548,[0.91871245],[1.34907607],[-0.42694081],[0.94569398],[1.13448883],[1.15005172],[1.93420767],[0.01632653],[0.048],[-0.33794828],[2.63805172]
9549,[-2.65962972],[-4.39443588],[-7.26296129],[-2.74751844],[-3.84090856],[-4.98470357],[-2.65904887],[0.01632653],[0.048],[-6.47270357],[-3.49670357]
9550,[-0.74960123],[2.04505977],[26.97495074],[-0.70870003],[2.60256194],[2.01331296],[2.1383954],[0.01632653],[0.048],[0.52531296],[3.50131296]
9551,[4.69362008],[-1.37404613],[-16.73365292],[4.66613915],[-1.47435345],[-1.27299249],[-1.67114383],[0.01632653],[0.048],[-2.76099249],[0.21500751]
9552,[-3.19411982],[-4.24738],[-20.00569582],[-3.27906742],[-4.096031],[-4.88077211],[-2.38520722],[0.01632653],[0.048],[-6.36877211],[-3.39277211]
9553,[3.13484443],[0.82524403],[28.01278462],[3.15134931],[1.38268358],[0.7983062],[0.90444127],[0.01632653],[0.048],[-0.6896938],[2.2863062]
9554,[-4.56532318],[4.83503285],[-19.39300648],[-4.46862253],[3.50043805],[3.85970173],[7.70250634],[0.01632653],[0.048],[2.37170173],[5.34770173]
9555,[0.83162417],[4.56835943],[-22.92066056],[0.92299135],[3.28920765],[3.72167891],[7.05760013],[0.01632653],[0.048],[2.23367891],[5.20967891]
9556,[1.47660756],[0.14572585],[-29.92551867],[1.47952207],[-0.66413589],[-0.02508501],[0.64790978],[0.01632653],[0.048],[-1.51308501],[1.46291499]
9557,[0.2747254],[2.02018451],[-10.04717226],[0.31512909],[1.63246413],[1.83139392],[2.57522885],[0.01632653],[0.048],[0.34339392],[3.31939392]
9558,[-2.50702885],[-3.38768312],[22.46096112],[-2.57478252],[-2.44141069],[-3.6859318],[-2.510832],[0.01632653],[0.048],[-5.1739318],[-2.1979318]
9559,[-3.81038282],[4.42634254],[-16.46923876],[-3.72185597],[3.34097086],[3.64377275],[6.7270977],[0.01632653],[0.048],[2.15577275],[5.13177275]
9560,[-0.65377274],[-3.35827857],[-10.78207101],[-0.72093832],[-3.11088801],[-3.64709721],[-2.50915176],[0.01632653],[0.048],[-5.13509721],[-2.15909721]
9561,[-4.4878185],[-2.44224851],[4.72246887],[-4.53666347],[-2.33627686],[-2.81456923],[-1.34762557],[0.01632653],[0.048],[-4.30256923],[-1.32656923]
9562,[2.8828097],[-2.77990759],[25.77199949],[2.82721154],[-2.04310553],[-3.091888],[-1.8626852],[0.01632653],[0.048],[-4.579888],[-1.603888]
9563,[0.1627375],[-3.19625027],[-2.65651446],[0.0988125],[-2.95864516],[-3.57822901],[-2.07323277],[0.01632653],[0.048],[-5.06622901],[-2.09022901]
9564,[-2.14211774],[-1.06155271],[15.224448],[-2.1633488],[-0.5497539],[-0.96097989],[-1.35723677],[0.01632653],[0.048],[-2.44897989],[0.52702011]
9565,[-4.89419893],[-4.45059982],[-0.78912157],[-4.98321093],[-4.02062738],[-5.30184837],[-1.94792908],[0.01632653],[0.048],[-6.78984837],[-3.81384837]
9566,[1.89733094],[-4.67570659],[12.75899871],[1.80381681],[-3.89036163],[-5.59168718],[-1.98272365],[0.01632653],[0.048],[-7.07968718],[-4.10368718]
9567,[-2.50558093],[1.94617567],[14.12311774],[-2.46665741],[2.22881227],[1.91332098],[2.04276845],[0.01632653],[0.048],[0.42532098],[3.40132098]
9568,[3.84929711],[1.34915756],[14.65421541],[3.87628026],[1.71618678],[1.39361396],[1.21845573],[0.01632653],[0.048],[-0.09438604],[2.88161396]
9569,[-1.85278701],[0.15249688],[-7.98955623],[-1.84973707],[0.16510041],[0.31124226],[-0.31421454],[0.01632653],[0.048],[-1.17675774],[1.79924226]
9570,[2.59623117],[-3.9481205],[21.15040178],[2.51726876],[-3.10652519],[-4.57548499],[-2.10366888],[0.01632653],[0.048],[-6.06348499],[-3.08748499]
9571,[-4.26525174],[2.00627653],[19.1632601],[-4.22512621],[2.10643615],[1.71318504],[2.86796549],[0.01632653],[0.048],[0.22518504],[3.20118504]
9572,[-1.86458291],[3.95076867],[19.39468047],[-1.78556753],[4.03566319],[3.57138979],[5.06614256],[0.01632653],[0.048],[2.08338979],[5.05938979]
9573,[-4.82274233],[1.56404223],[13.07032778],[-4.79146148],[1.57175743],[1.30986802],[2.31131441],[0.01632653],[0.048],[-0.17813198],[2.79786802]
9574,[1.53733089],[-2.50637012],[15.83124485],[1.48720349],[-2.1643859],[-2.8937725],[-1.3674071],[0.01632653],[0.048],[-4.3817725],[-1.4057725]
9575,[-2.33129063],[4.82646855],[28.89069601],[-2.23476126],[4.81931697],[4.14277443],[6.83652924],[0.01632653],[0.048],[2.65477443],[5.63077443]
9576,[-4.53500919],[4.12768929],[26.24148724],[-4.45245541],[3.94544177],[3.37184932],[6.34985877],[0.01632653],[0.048],[1.88384932],[4.85984932]
9577,[-4.95447143],[0.03854069],[0.7441056],[-4.95370062],[-0.12762409],[-0.12742215],[0.52647144],[0.01632653],[0.048],[-1.61542215],[1.36057785]
9578,[2.627224],[-2.69660667],[5.80988018],[2.57329187],[-2.43418496],[-3.03263516],[-1.7086829],[0.01632653],[0.048],[-4.52063516],[-1.54463516]
9579,[-4.37144806],[-1.43961001],[10.33948922],[-4.40024026],[-1.33448113],[-1.67221844],[-0.75574124],[0.01632653],[0.048],[-3.16021844],[-0.18421844]
9580,[1.78536781],[3.71662247],[23.09699501],[1.85970026],[3.57300747],[3.0732217],[5.60822074],[0.01632653],[0.048],[1.5852217],[4.5612217]
9581,[-1.61665893],[-2.82548147],[21.0559085],[-1.67316856],[-1.94539103],[-2.93481242],[-2.50404847],[0.01632653],[0.048],[-4.42281242],[-1.44681242]
9582,[0.10444273],[4.82905867],[17.36553786],[0.2010239],[4.4298458],[4.00484602],[7.25224384],[0.01632653],[0.048],[2.51684602],[5.49284602]
9583,[-3.96659478],[2.32281426],[-25.930324],[-3.92013849],[1.47190073],[2.01062384],[3.24065411],[0.01632653],[0.048],[0.52262384],[3.49862384]
9584,[-3.47492101],[3.66897129],[-10.37576236],[-3.40154159],[2.96037139],[3.14722285],[5.20291172],[0.01632653],[0.048],[1.65922285],[4.63522285]
9585,[-1.55116087],[-3.72886812],[2.08615554],[-1.62573823],[-3.05470245],[-4.04228198],[-2.80743139],[0.01632653],[0.048],[-5.53028198],[-2.55428198]
9586,[0.01962768],[-1.6334472],[29.52089949],[-0.01304127],[-0.94029287],[-1.73109389],[-1.34636596],[0.01632653],[0.048],[-3.21909389],[-0.24309389]
9587,[-0.67574098],[-3.67691935],[-11.13362649],[-0.74927937],[-3.36211212],[-4.04014383],[-2.60903938],[0.01632653],[0.048],[-5.52814383],[-2.55214383]
9588,[-4.92585662],[2.70166126],[2.85024605],[-4.87182339],[2.34542855],[2.2829088],[3.93279347],[0.01632653],[0.048],[0.7949088],[3.7709088]
9589,[0.09228182],[-2.00413136],[16.41800665],[0.0521992],[-1.55420083],[-2.16050745],[-1.54438567],[0.01632653],[0.048],[-3.64850745],[-0.67250745]
9590,[-2.07670023],[3.58300775],[-0.00230141],[-2.00504007],[3.33673184],[3.2853033],[4.45825884],[0.01632653],[0.048],[1.7973033],[4.7733033]
9591,[0.18168913],[-4.01559596],[-2.70109983],[0.10137722],[-3.59406556],[-4.60453072],[-2.28412777],[0.01632653],[0.048],[-6.09253072],[-3.11653072]
9592,[4.31337478],[-4.14452094],[6.42379025],[4.23048436],[-3.28952609],[-4.58401657],[-2.8524038],[0.01632653],[0.048],[-6.07201657],[-3.09601657]
9593,[-3.00272587],[2.54761941],[-14.11624733],[-2.95177348],[2.07065868],[2.3447723],[3.14398989],[0.01632653],[0.048],[0.8567723],[3.8327723]
9594,[-1.86779815],[0.62979115],[-21.02899664],[-1.85520233],[0.35837016],[0.77493595],[0.20306542],[0.01632653],[0.048],[-0.71306405],[2.26293595]
9595,[-3.0424094],[4.20406923],[-9.67879479],[-2.95832802],[3.45554136],[3.60883624],[5.95405421],[0.01632653],[0.048],[2.12083624],[5.09683624]
9596,[3.47503641],[-2.09719075],[29.77567483],[3.43309259],[-1.27384353],[-2.19604776],[-1.80655116],[0.01632653],[0.048],[-3.68404776],[-0.70804776]
9597,[3.32892966],[-2.12844024],[-10.78700999],[3.28636085],[-2.17116581],[-2.25562172],[-1.75452667],[0.01632653],[0.048],[-3.74362172],[-0.76762172]
9598,[-4.59148479],[0.58183117],[21.57234682],[-4.57984816],[0.83328981],[0.40055969],[1.11476932],[0.01632653],[0.048],[-1.08744031],[1.88855969]
9599,[-1.91508618],[4.01056943],[28.9996222],[-1.83487479],[4.27703189],[3.61210032],[5.18206861],[0.01632653],[0.048],[2.12410032],[5.10010032]
9600,[3.99682031],[-4.20840677],[-25.2711582],[3.91265218],[-4.02645847],[-4.69440359],[-2.77957613],[0.01632653],[0.048],[-6.18240359],[-3.20640359]
9601,[1.27362077],[2.00017461],[-12.71127143],[1.31362426],[1.42947728],[1.69874589],[2.88637504],[0.01632653],[0.048],[0.21074589],[3.18674589]
9602,[2.00861553],[-3.55311084],[29.81127088],[1.93755331],[-2.69941302],[-4.14348201],[-1.81741959],[0.01632653],[0.048],[-5.63148201],[-2.65548201]
9603,[2.03646623],[-3.07638868],[-20.14355865],[1.97493845],[-3.36039438],[-3.55570343],[-1.66720331],[0.01632653],[0.048],[-5.04370343],[-2.06770343]
9604,[-1.13975704],[0.77816928],[18.79767894],[-1.12419365],[1.32143044],[0.90807266],[0.39625337],[0.01632653],[0.048],[-0.57992734],[2.39607266]
9605,[-0.23495648],[4.88540011],[-9.49285659],[-0.13724848],[3.97314768],[4.09910774],[7.19709968],[0.01632653],[0.048],[2.61110774],[5.58710774]
9606,[2.55419965],[1.55647677],[25.3067532],[2.58532918],[1.89978073],[1.37721668],[2.08350145],[0.01632653],[0.048],[-0.11078332],[2.86521668]
9607,[-1.54494958],[-3.60760206],[29.27002436],[-1.61710162],[-2.39627745],[-3.89035391],[-2.77631164],[0.01632653],[0.048],[-5.37835391],[-2.40235391]
9608,[-2.10979782],[1.63898887],[14.36089759],[-2.07701804],[2.0119538],[1.68864663],[1.49299505],[0.01632653],[0.048],[0.20064663],[3.17664663]
9609,[1.59219002],[-1.39975503],[-26.91700899],[1.56419492],[-2.08485759],[-1.63812135],[-0.69895805],[0.01632653],[0.048],[-3.12612135],[-0.15012135]
9610,[4.87793417],[-1.94170338],[-5.49730201],[4.8391001],[-1.75121513],[-1.90784396],[-2.04125007],[0.01632653],[0.048],[-3.39584396],[-0.41984396]
9611,[3.33049485],[-1.46651608],[-27.48747042],[3.30116453],[-1.93225475],[-1.51136306],[-1.33466597],[0.01632653],[0.048],[-2.99936306],[-0.02336306]
9612,[0.19667833],[1.72463272],[-26.51292858],[0.23117098],[1.04390234],[1.58680196],[2.12985514],[0.01632653],[0.048],[0.09880196],[3.07480196]
9613,[0.31429699],[4.90826336],[-6.04540573],[0.41246226],[3.95885315],[4.02292175],[7.51116768],[0.01632653],[0.048],[2.53492175],[5.51092175]
9614,[2.0987263],[-2.69740311],[18.6916202],[2.04477823],[-2.23749604],[-3.09624458],[-1.52480919],[0.01632653],[0.048],[-4.58424458],[-1.60824458]
9615,[2.79482591],[3.17696011],[16.51853994],[2.85836512],[3.13289098],[2.7692534],[4.37561783],[0.01632653],[0.048],[1.2812534],[4.2572534]
9616,[1.8431004],[-1.41510876],[-13.45427092],[1.81479822],[-1.81127976],[-1.6487952],[-0.72807063],[0.01632653],[0.048],[-3.1367952],[-0.1607952]
9617,[2.80853208],[-0.97261154],[-28.56709128],[2.78907985],[-1.59588337],[-1.06264411],[-0.7079158],[0.01632653],[0.048],[-2.55064411],[0.42535589]
9618,[4.93787176],[0.86245199],[-12.92388221],[4.9551208],[0.75329013],[0.99873397],[0.46178298],[0.01632653],[0.048],[-0.48926603],[2.48673397]
9619,[-4.91640516],[-3.82241401],[22.49491997],[-4.99285344],[-3.07292568],[-4.49369354],[-1.84885218],[0.01632653],[0.048],[-5.98169354],[-3.00569354]
9620,[1.66451241],[2.88776899],[-0.96550956],[1.72226779],[2.41482659],[2.43005186],[4.23345736],[0.01632653],[0.048],[0.94205186],[3.91805186]
9621,[2.00952892],[3.15866403],[24.08738293],[2.07270221],[3.17089207],[2.6596721],[4.62570031],[0.01632653],[0.048],[1.1716721],[4.1476721]
9622,[4.55983119],[4.6388433],[-9.494232],[4.65260806],[3.94050555],[4.06087287],[6.33807636],[0.01632653],[0.048],[2.57287287],[5.54887287]
9623,[-4.05609707],[-0.46110359],[2.82270005],[-4.06531914],[-0.54280419],[-0.60425527],[-0.04023766],[0.01632653],[0.048],[-2.09225527],[0.88374473]
9624,[3.44809059],[-2.99273572],[4.35464018],[3.38823588],[-2.55775629],[-3.25312372],[-2.22719503],[0.01632653],[0.048],[-4.74112372],[-1.76512372]
9625,[0.65795496],[2.02612709],[17.46360091],[0.6984775],[2.14575087],[1.77917565],[2.75216432],[0.01632653],[0.048],[0.29117565],[3.26717565]
9626,[1.23561883],[4.47385297],[-12.93254264],[1.32509589],[3.39038982],[3.62204675],[6.97816325],[0.01632653],[0.048],[2.13404675],[5.11004675]
9627,[-0.27480843],[-0.01479258],[-11.85225714],[-0.27510429],[-0.21279729],[0.02861729],[-0.14241759],[0.01632653],[0.048],[-1.45938271],[1.51661729]
9628,[4.94726403],[-3.56939644],[-25.94491382],[4.8758761],[-3.52113832],[-3.84726121],[-2.752474],[0.01632653],[0.048],[-5.33526121],[-2.35926121]
9629,[4.68339948],[-2.60260505],[-8.2799641],[4.63134738],[-2.37132898],[-2.67010214],[-2.4041636],[0.01632653],[0.048],[-4.15810214],[-1.18210214]
9630,[-0.17438251],[4.97231452],[29.82117398],[-0.07493622],[4.83957977],[4.14647767],[7.40027485],[0.01632653],[0.048],[2.65847767],[5.63447767]
9631,[-4.69811072],[4.05264939],[3.37068091],[-4.61705773],[3.41160555],[3.31535514],[6.22029448],[0.01632653],[0.048],[1.82735514],[4.80335514]
9632,[-3.63428684],[-2.55108802],[28.82160139],[-3.6853086],[-1.83066291],[-2.8575785],[-1.650006],[0.01632653],[0.048],[-4.3455785],[-1.3695785]
9633,[2.66726047],[0.86724554],[-21.28844205],[2.68460538],[0.31253608],[0.762025],[1.17659391],[0.01632653],[0.048],[-0.725975],[2.250025]
9634,[2.62305421],[-1.05060645],[-2.75120386],[2.60204209],[-1.16358435],[-1.17450582],[-0.68634232],[0.01632653],[0.048],[-2.66250582],[0.31349418]
9635,[-2.85134959],[-0.44689695],[-24.47470449],[-2.86028753],[-0.89373419],[-0.40787024],[-0.56163547],[0.01632653],[0.048],[-1.89587024],[1.08012976]
9636,[-2.55092254],[-0.78646795],[24.29218797],[-2.5666519],[-0.154868],[-0.71626445],[-0.99286621],[0.01632653],[0.048],[-2.20426445],[0.77173555]
9637,[1.4449848],[-1.56617388],[12.30661014],[1.41366132],[-1.41841002],[-1.82027136],[-0.8191273],[0.01632653],[0.048],[-3.30827136],[-0.33227136]
9638,[-2.80258976],[-2.08975659],[27.90806556],[-2.84438489],[-1.30527664],[-2.18665566],[-1.80487333],[0.01632653],[0.048],[-3.67465566],[-0.69865566]
9639,[-1.93201078],[-1.50027808],[-16.44339535],[-1.96201635],[-1.59425737],[-1.42258385],[-1.72869912],[0.01632653],[0.048],[-2.91058385],[0.06541615]
9640,[-0.43027482],[-0.11406575],[5.33815534],[-0.43255613],[0.07350628],[-0.0465348],[-0.31260677],[0.01632653],[0.048],[-1.5345348],[1.4414652]
9641,[-0.07990697],[0.33460299],[-17.77708005],[-0.07321491],[-0.02145566],[0.34188145],[0.31320433],[0.01632653],[0.048],[-1.14611855],[1.82988145]
9642,[-1.41690291],[1.70149791],[-8.43865598],[-1.38287296],[1.61944358],[1.76585364],[1.51229209],[0.01632653],[0.048],[0.27785364],[3.25385364]
9643,[3.9093868],[-1.17198161],[7.24652121],[3.88594717],[-0.84538944],[-1.10462646],[-1.37000574],[0.01632653],[0.048],[-2.59262646],[0.38337354]
9644,[0.44828485],[-1.22642414],[10.11725291],[0.42375637],[-1.05147457],[-1.35365186],[-0.85237466],[0.01632653],[0.048],[-2.84165186],[0.13434814]
9645,[0.41420742],[-4.55178477],[22.93228641],[0.32317173],[-3.49198047],[-5.33653594],[-2.24461633],[0.01632653],[0.048],[-6.82453594],[-3.84853594]
9646,[-3.56671046],[-4.83234547],[24.91179179],[-3.66335737],[-3.6449407],[-5.70958531],[-2.25326034],[0.01632653],[0.048],[-7.19758531],[-4.22158531]
9647,[1.1145763],[-2.26004416],[-14.44480725],[1.06937542],[-2.56726169],[-2.58980987],[-1.29053297],[0.01632653],[0.048],[-4.07780987],[-1.10180987]
9648,[-3.83865071],[3.23654087],[-29.0669109],[-3.77391989],[2.17561707],[2.76474508],[4.6236205],[0.01632653],[0.048],[1.27674508],[4.25274508]
9649,[1.51905763],[-2.16717688],[5.45512147],[1.47571409],[-2.09149393],[-2.49977109],[-1.18934992],[0.01632653],[0.048],[-3.98777109],[-1.01177109]
9650,[1.86153633],[0.00219704],[16.44569588],[1.86158027],[0.16379772],[-0.16155625],[0.48363174],[0.01632653],[0.048],[-1.64955625],[1.32644375]
9651,[4.06103183],[-0.61141846],[-26.04895596],[4.04880347],[-0.99077433],[-0.49261056],[-0.96071366],[0.01632653],[0.048],[-1.98061056],[0.99538944]
9652,[2.43415355],[1.42335458],[-28.68937518],[2.46262064],[0.63813363],[1.24165035],[1.95756502],[0.01632653],[0.048],[-0.24634965],[2.72965035]
9653,[-0.76851535],[-2.49218826],[-23.47943814],[-0.81835911],[-2.65399462],[-2.59159666],[-2.19992755],[0.01632653],[0.048],[-4.07959666],[-1.10359666]
9654,[-0.55687119],[1.01986583],[-24.55587646],[-0.53647388],[0.57703366],[1.07074465],[0.87028211],[0.01632653],[0.048],[-0.41725535],[2.55874465]
9655,[1.31143944],[3.10564511],[17.91471635],[1.37355234],[2.99017041],[2.60778479],[4.56935442],[0.01632653],[0.048],[1.11978479],[4.09578479]
9656,[-0.09096746],[-4.6352652],[-29.71933104],[-0.18367276],[-4.55405416],[-5.36333999],[-2.49472533],[0.01632653],[0.048],[-6.85133999],[-3.87533999]
9657,[-0.20678936],[2.95517572],[29.04337749],[-0.14768585],[3.32192152],[2.68624797],[3.7458233],[0.01632653],[0.048],[1.19824797],[4.17424797]
9658,[2.82916187],[-1.48121049],[-9.74312261],[2.79953766],[-1.66938414],[-1.61099188],[-1.09965318],[0.01632653],[0.048],[-3.09899188],[-0.12299188]
9659,[-2.74589803],[-3.64032385],[10.60280157],[-2.81870451],[-2.92279597],[-4.03476016],[-2.48068111],[0.01632653],[0.048],[-5.52276016],[-2.54676016]
